Expected constant (n/10): 24786.9

Rank	Word	Frequency	Rank*Frequency
1	the	19118	19118
2	to	6844	13688
3	of	6431	19293
4	a	6207	24828
5	in	5184	25920
6	and	5161	30966
7	said	2742	19194
8	on	2420	19360
9	for	2186	19674
10	was	2097	20970
11	calcutta	2060	22660
12	from	1748	20976
13	at	1662	21606
14	is	1577	22078
15	with	1561	23415
16	that	1496	23936
17	he	1457	24769
18	bengal	1416	25488
19	have	1294	24586
20	by	1283	25660
21	police	1268	26628
22	we	1223	26906
23	will	1209	27807
24	had	1144	27456
25	be	1138	28450
26	it	1083	28158
27	his	1069	28863
28	are	1058	29624
29	has	1056	30624
30	not	1048	31440
31	were	956	29636
32	telegraph	952	30464
33	an	936	30888
34	as	889	30226
35	after	840	29400
36	her	771	27756
37	who	751	27787
38	government	730	27740
39	they	726	28314
40	but	715	28600
41	up	707	28987
42	today	688	28896
43	court	678	29154
44	this	676	29744
45	been	667	30015
46	about	660	30360
47	our	656	30832
48	state	626	30048
49	their	622	30478
50	also	546	27300
51	minister	542	27642
52	when	526	27352
53	out	522	27666
54	would	503	27162
55	two	500	27500
56	i	500	28000
57	cpm	496	28272
58	them	463	26854
59	chief	445	26255
60	against	443	26580
61	she	443	27023
62	over	443	27466
63	rs	439	27657
64	which	427	27328
65	its	425	27625
66	there	406	26796
67	last	391	26197
68	all	389	26452
69	him	385	26565
70	party	379	26530
71	hospital	376	26696
72	december	356	25632
73	km	355	25915
74	district	347	25678
75	into	319	23925
76	no	313	23788
77	people	307	23639
78	asked	306	23868
79	september	305	24095
80	years	303	24240
81	november	300	24300
82	station	300	24600
83	if	299	24817
84	one	298	25032
85	school	297	25245
86	high	294	25284
87	three	281	24447
88	october	276	24288
89	arrested	276	24564
90	bhattacharjee	270	24300
91	other	267	24297
92	students	260	23920
93	officials	258	23994
94	being	257	24158
95	year	257	24415
96	around	252	24192
97	more	251	24347
98	sunday	249	24402
99	take	249	24651
100	correspondent	248	24800
101	added	243	24543
102	some	241	24582
103	did	240	24720
104	home	236	24544
105	any	236	24780
106	before	235	24910
107	secretary	235	25145
108	department	235	25380
109	under	231	25179
110	told	231	25410
111	house	230	25530
112	official	228	25536
113	or	226	25538
114	order	225	25650
115	could	225	25875
116	now	224	25984
117	officer	223	26091
118	here	217	25606
119	medical	217	25823
120	set	216	25920
121	sept	216	26136
122	left	215	26230
123	night	214	26322
124	trinamul	213	26412
125	congress	212	26500
126	case	211	26586
127	during	210	26670
128	dec	209	26752
129	four	207	26703
130	committee	206	26780
131	midnapore	205	26855
132	health	205	27060
133	bandh	203	26999
134	so	203	27202
135	morning	202	27270
136	day	201	27336
137	meeting	200	27400
138	taken	198	27324
139	reporter	197	27383
140	only	197	27580
141	north	194	27354
142	staff	194	27548
143	because	194	27742
144	west	193	27792
145	development	192	27840
146	friday	190	27740
147	where	188	27636
148	nov	187	27676
149	new	187	27863
150	ago	186	27900
151	local	186	28086
152	superintendent	185	28120
153	das	184	28152
154	days	184	28336
155	monday	183	28365
156	centre	183	28548
157	biswas	182	28574
158	teachers	181	28598
159	five	180	28620
160	roy	180	28800
161	university	180	28980
162	leaders	176	28512
163	found	175	28525
164	first	174	28536
165	education	174	28710
166	can	174	28884
167	buddhadeb	174	29058
168	oct	173	29064
169	ghosh	173	29237
170	thursday	172	29240
171	banerjee	172	29412
172	members	171	29412
173	crore	171	29583
174	us	171	29754
175	like	168	29400
176	yearold	168	29568
177	wednesday	168	29736
178	time	167	29726
179	my	165	29535
180	work	164	29520
181	saturday	163	29503
182	tuesday	163	29666
183	several	163	29829
184	went	162	29808
185	burdwan	159	29415
186	then	158	29388
187	should	157	29359
188	chakraborty	154	28952
189	parganas	154	29106
190	down	154	29260
191	city	153	29223
192	came	152	29184
193	board	152	29336
194	off	152	29488
195	get	152	29640
196	made	152	29792
197	these	152	29944
198	colleges	152	30096
199	authorities	150	29850
200	decided	150	30000
201	yesterday	149	29949
202	singh	149	30098
203	allegedly	149	30247
204	college	149	30396
205	father	148	30340
206	front	148	30488
207	took	147	30429
208	while	145	30160
209	between	145	30305
210	come	144	30240
211	complaint	144	30384
212	wife	143	30316
213	near	143	30459
214	lakh	143	30602
215	village	142	30530
216	member	142	30672
217	another	141	30597
218	road	141	30738
219	held	141	30879
220	nadia	141	31020
221	per	141	31161
222	those	140	31080
223	however	140	31220
224	called	140	31360
225	railway	140	31500
226	power	139	31414
227	report	138	31326
228	help	138	31464
229	india	138	31602
230	including	136	31280
231	mukherjee	136	31416
232	month	136	31552
233	council	136	31688
234	leader	135	31590
235	area	133	31255
236	alleged	133	31388
237	howrah	132	31284
238	back	131	31178
239	decision	130	31070
240	picture	130	31200
241	south	130	31330
242	land	130	31460
243	am	130	31590
244	senior	129	31476
245	project	128	31360
246	such	128	31488
247	workers	128	31616
248	go	127	31496
249	even	125	31125
250	me	124	31000
251	former	123	30873
252	do	122	30744
253	few	122	30866
254	action	122	30988
255	how	122	31110
256	across	122	31232
257	children	121	31097
258	special	120	30960
259	way	120	31080
260	train	117	30420
261	admitted	116	30276
262	bandhs	116	30392
263	mamata	116	30508
264	student	116	30624
265	than	116	30740
266	girl	116	30856
267	mother	115	30705
268	residents	114	30552
269	pay	113	30397
270	through	113	30510
271	past	113	30623
272	later	112	30464
273	mondal	112	30576
274	months	111	30414
275	kumar	111	30525
276	private	111	30636
277	schools	111	30747
278	make	111	30858
279	cent	111	30969
280	money	110	30800
281	received	110	30910
282	central	110	31020
283	many	110	31130
284	employees	110	31240
285	basu	110	31350
286	villagers	110	31460
287	used	110	31570
288	what	109	31392
289	since	109	31501
290	office	109	31610
291	puja	108	31428
292	death	108	31536
293	right	108	31644
294	subdivisional	107	31458
295	every	107	31565
296	union	106	31376
297	border	106	31482
298	force	106	31588
299	pm	106	31694
300	evening	106	31800
301	lake	106	31906
302	teacher	104	31408
303	family	104	31512
304	murshidabad	104	31616
305	till	104	31720
306	soon	104	31824
307	murder	104	31928
308	accused	103	31724
309	six	103	31827
310	next	103	31930
311	son	103	32033
312	though	103	32136
313	woman	102	31926
314	killed	102	32028
315	place	102	32130
316	bus	102	32232
317	know	101	32017
318	siliguri	101	32118
319	started	101	32219
320	areas	101	32320
321	transport	101	32421
322	water	101	32522
323	chatterjee	101	32623
324	persons	100	32400
325	trying	100	32500
326	among	100	32600
327	districts	100	32700
328	body	100	32800
329	president	100	32900
330	fire	99	32670
331	public	98	32438
332	same	98	32536
333	according	98	32634
334	general	98	32732
335	dilip	98	32830
336	doctors	97	32592
337	following	97	32689
338	security	97	32786
339	away	97	32883
340	died	96	32640
341	justice	95	32395
342	town	95	32490
343	sarkar	95	32585
344	krishnagar	95	32680
345	officers	95	32775
346	want	94	32524
347	part	94	32618
348	delhi	93	32364
349	put	93	32457
350	may	93	32550
351	system	93	32643
352	most	93	32736
353	without	92	32476
354	others	92	32568
355	supreme	92	32660
356	least	91	32396
