Expected constant (n/10): 11352.3

Rank	Word	Frequency	Rank*Frequency
1	ও	2664	2664
2	রোড	1159	2318
3	শুভ	886	2658
4	১০	836	3344
5	মোড়	780	3900
6	ষ্ট্রিট	778	4668
7	থেকে	737	5159
8	১৫	654	5232
9	আগে	639	5751
10	৫০	623	6230
11	ভেটকি	607	6677
12	৪০	604	7248
13	১২	602	7826
14	রোডের	583	8162
15	৩০	571	8565
16	যে	543	8688
17	২০	538	9146
18	এবং	507	9126
19	৮	485	9215
20	আলু	459	9180
21	পোনা	459	9639
22	কাটা	458	10076
23	হয়	457	10511
24	পার্ক	449	10776
25	বেগুন	446	11150
26	যাওয়ার	429	11154
27	না	425	11475
28	পর্যন্ত	420	11760
29	আপেল	419	12151
30	আজ	415	12450
31	জন্য	414	12834
32	এই	405	12960
33	১৫০	401	13233
34	৬	400	13600
35	পারে	393	13755
36	বাজারে	390	14040
37	পটল	387	14319
38	বলেন	383	14554
39	কোন	370	14430
40	২৫	367	14680
41	ক্রসিং	366	15006
42	এ	363	15246
43	১৮০	353	15179
44	হবে	351	15444
45	তিনি	345	15525
46	গলদা	343	15778
47	চিংড়ি	340	15980
48	আম	315	15120
49	শহরের	303	14847
50	করা	302	15100
51	৭	300	15300
52	২০০	295	15340
53	গাড়ি	293	15529
54	পার্শে	292	15768
55	চলছে	292	16060
56	হইতে	292	16352
57	আঙুর	289	16473
58	টোম্যাটো	284	16472
59	করেন	281	16579
60	করিয়া	278	16680
61	শসা	275	16775
62	ট্যাংরা	266	16492
63	পাবদা	260	16380
64	দিন	257	16448
65	এখন	257	16705
66	তোপসে	255	16830
67	হলে	252	16884
68	রায়	250	17000
69	কাজ	248	17112
70	মুসম্বি	247	17290
71	এক	246	17466
72	পাঁচটি	245	17640
73	১৪০	243	17739
74	রাস্তা	237	17538
75	দিয়ে	231	17325
76	হতে	230	17480
77	১৬০	229	17633
78	দিকে	227	17706
79	ঐ	227	17933
80	ছাড়া	223	17840
81	বাগদা	222	17982
82	বন্ধ	221	18122
83	সামনে	217	18011
84	সংখ্যা	216	18144
85	সতর্ক	216	18360
86	৩৫	216	18576
87	ভাষা	215	18705
88	থাকবে	213	18744
89	কমলালেবু	210	18690
90	ওই	210	18900
91	হইয়াছে	210	19110
92	আনন্দবাজার	210	19320
93	ইলিশ	207	19251
94	থাকুন	206	19364
95	গড়িয়াহাট	206	19570
96	কী	205	19680
97	ক্যাপসিকাম	204	19788
98	৬০	204	19992
99	১০০	203	20097
100	কোনও	203	20300
101	দেখে	202	20402
102	৯০	202	20604
103	কত	201	20703
104	নিন	200	20800
105	বছর	200	21000
106	পত্রিকা	199	21094
107	দেব	198	21186
108	৪	198	21384
109	২০০৪	196	21364
110	প্রসঙ্গ	196	21560
111	কাল	196	21756
112	জন্মদিন	196	21952
113	বাজার	195	22035
114	পুলকরঞ্জন	195	22230
115	রত্ন	195	22425
116	টাকা	195	22620
117	টাকায়	194	22698
118	পি	193	22774
119	নীল	193	22967
120	একনজরে	192	23040
121	বিকিয়েছে	192	23232
122	হল	192	23424
123	বানান	192	23616
124	জরিমানা	191	23684
125	জেব্রা	187	23375
126	অপরিবর্তিত	187	23562
127	পুলিশ	184	23368
128	জি	184	23552
129	তবে	181	23349
130	২৫০	179	23270
131	রাসবিহারী	177	23187
